Station;115 Hardenbergplatz;115 Hardenbergplatz;115 Hardenbergplatz
Messkomponente;Stickstoffmonoxid;Stickstoffdioxid;Stickoxide
Einheit;µg/m³;µg/m³;µg/m³
Messzeit;Stundenwerte;Stundenwerte;Stundenwerte

21.03.2020 01:00;3;7;11
21.03.2020 02:00;2;5;7
21.03.2020 03:00;2;6;10
21.03.2020 04:00;4;8;14
21.03.2020 05:00;2;6;9
21.03.2020 06:00;3;8;12
21.03.2020 07:00;3;13;19
21.03.2020 08:00;5;12;20
21.03.2020 09:00;4;6;13
21.03.2020 10:00;4;6;12
21.03.2020 11:00;5;6;14
21.03.2020 12:00;8;7;19
21.03.2020 13:00;8;8;21
21.03.2020 14:00;11;8;24
21.03.2020 15:00;8;9;22
21.03.2020 16:00;19;14;43
21.03.2020 17:00;9;10;24
21.03.2020 18:00;8;11;23
21.03.2020 19:00;9;12;26
21.03.2020 20:00;18;21;47
21.03.2020 21:00;9;13;27
21.03.2020 22:00;5;11;18
21.03.2020 23:00;4;11;17
22.03.2020 00:00;4;10;15
22.03.2020 01:00;3;10;15
22.03.2020 02:00;1;6;7
22.03.2020 03:00;1;9;10
22.03.2020 04:00;1;11;13
22.03.2020 05:00;1;10;11
22.03.2020 06:00;1;13;15
22.03.2020 07:00;3;18;22
22.03.2020 08:00;4;15;20
22.03.2020 09:00;3;9;13
22.03.2020 10:00;4;7;13
22.03.2020 11:00;4;8;15
22.03.2020 12:00;5;7;15
22.03.2020 13:00;9;8;21
22.03.2020 14:00;7;10;21
22.03.2020 15:00;6;9;18
22.03.2020 16:00;8;10;22
22.03.2020 17:00;5;8;16
22.03.2020 18:00;13;13;33
22.03.2020 19:00;8;10;22
22.03.2020 20:00;10;17;31
22.03.2020 21:00;12;22;40
22.03.2020 22:00;14;21;42
22.03.2020 23:00;8;23;35
23.03.2020 00:00;9;23;37
23.03.2020 01:00;5;23;31
23.03.2020 02:00;10;22;36
23.03.2020 03:00;10;22;37
23.03.2020 04:00;6;18;27
23.03.2020 05:00;3;19;23
23.03.2020 06:00;3;20;25
23.03.2020 07:00;8;31;44
23.03.2020 08:00;14;37;59
23.03.2020 09:00;13;32;53
23.03.2020 10:00;16;29;53
23.03.2020 11:00;15;19;43
23.03.2020 12:00;13;17;38
23.03.2020 13:00;17;18;44
23.03.2020 14:00;17;22;48
23.03.2020 15:00;23;21;56
23.03.2020 16:00;12;16;35
23.03.2020 17:00;17;21;47
23.03.2020 18:00;17;23;48
23.03.2020 19:00;21;31;63
23.03.2020 20:00;18;38;67
23.03.2020 21:00;16;35;58
23.03.2020 22:00;8;34;45
23.03.2020 23:00;15;48;71
24.03.2020 00:00;10;48;64
24.03.2020 01:00;9;49;63
24.03.2020 02:00;17;48;74
24.03.2020 03:00;4;36;42
24.03.2020 04:00;11;40;57
24.03.2020 05:00;11;44;61
24.03.2020 06:00;15;55;77
24.03.2020 07:00;16;54;80
24.03.2020 08:00;23;58;92
24.03.2020 09:00;25;50;87
24.03.2020 10:00;11;32;48
24.03.2020 11:00;12;24;41
24.03.2020 12:00;12;20;39
24.03.2020 13:00;13;21;42
24.03.2020 14:00;8;17;30
24.03.2020 15:00;12;21;39
24.03.2020 16:00;18;23;50
